SHORT_CODE,TEAM_NAME,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R
LAA,Angels,100,99,97,97,88,91,108,103
BAL,Orioles,101,101,101,96,90,92,110,112
BOS,Red Sox,101,103,123,109,107,102,93,99
CHW,White Sox,97,99,87,97,90,83,111,106
CLE,Cleveland,100,100,104,99,95,87,103,99
DET,Tigers,103,102,99,104,135,130,94,99
KCR,Royals,105,102,107,106,109,111,92,92
MIN,Twins,101,99,100,109,111,92,99,98
NYY,Yankees,99,101,91,93,78,96,109,103
OAK,Athletics,97,98,100,102,93,105,92,94
SEA,Mariners,97,98,92,92,78,91,96,99
TBR,Rays,98,97,94,96,108,94,92,94
TEX,Rangers,106,99,102,97,96,92,101,95
TOR,Blue Jays,98,103,102,103,108,106,94,101
ARI,Diamondbacks,103,102,104,102,132,116,99,93
ATL,Braves,100,102,100,103,88,99,100,97
CHC,Cubs,101,100,100,99,114,113,96,103
CIN,Reds,99,98,97,107,98,90,113,111
COL,Rockies,106,107,106,116,149,139,109,108
MIA,Marlins,98,102,91,98,113,102,92,90
HOU,Astros,99,97,97,93,114,85,102,101
LAD,Dodgers,96,97,99,97,69,82,102,107
MIL,Brewers,97,98,98,97,92,100,101,103
WSN,Nationals,105,102,110,102,89,92,104,106
NYM,Mets,98,95,91,93,86,83,95,98
PHI,Phillies,97,100,98,96,104,100,106,110
PIT,Pirates,100,101,108,106,88,101,95,92
STL,Cardinals,102,100,99,94,88,101,97,91
SDP,Padres,98,97,100,96,88,92,95,96
SFG,Giants,99,102,104,98,113,110,87,90
